Grupo,Teste,Result,Esperado,Correto,Razao
GrupoV,asl031,1,0,FALSE,"Error at line 6: syntax error, unexpected '+', expecting ',' "
GrupoV,asl033,1,0,FALSE,"Error at line 6: syntax error, unexpected TK_OC_AND, expecting ',' "
GrupoV,asl037,1,0,FALSE,"Error at line 6: syntax error, unexpected '}' "
GrupoV,asl048,1,0,FALSE,"Error at line 4: syntax error, unexpected '}' "
GrupoV,asl050,1,0,FALSE,"Error at line 4: syntax error, unexpected '}' "
GrupoV,asl052,1,0,FALSE,"Error at line 4: syntax error, unexpected '}' "
GrupoV,asl053,1,0,FALSE,"Error at line 4: syntax error, unexpected '}' "
GrupoV,asl057,1,0,FALSE,"Error at line 4: syntax error, unexpected '{' "
GrupoV,asl058,1,0,FALSE,"Error at line 4: syntax error, unexpected '{' "
GrupoV,asl073,1,0,FALSE,"Error at line 4: syntax error, unexpected ')' "
GrupoV,asl083,1,0,FALSE,"Error at line 5: syntax error, unexpected '}' "
GrupoV,asl086,1,0,FALSE,"Error at line 7: syntax error, unexpected '}' "
GrupoV,asl091,1,0,FALSE,"Error at line 5: syntax error, unexpected '(' "
GrupoV,asl092,1,0,FALSE,"Error at line 4: syntax error, unexpected TK_OC_EQ, expecting ')' "
GrupoV,asl113,0,1,FALSE,NA
GrupoV,asl118,1,0,FALSE,"Error at line 7: syntax error, unexpected ',', expecting '}' "
GrupoV,asl131,1,0,FALSE,"Error at line 4: syntax error, unexpected TK_OC_AND, expecting ',' "
GrupoV,asl148,1,0,FALSE,"Error at line 3: syntax error, unexpected '+', expecting ',' "
GrupoV,asl149,1,0,FALSE,"Error at line 3: syntax error, unexpected ' ', expecting ',' "
GrupoV,asl150,1,0,FALSE,"Error at line 3: syntax error, unexpected '*', expecting ',' "
GrupoV,asl151,1,0,FALSE,"Error at line 3: syntax error, unexpected '/', expecting ',' "
GrupoV,asl152,1,0,FALSE,"Error at line 3: syntax error, unexpected '%', expecting ',' "
GrupoV,asl153,1,0,FALSE,"Error at line 3: syntax error, unexpected TK_OC_AND, expecting ',' "
GrupoV,asl154,1,0,FALSE,"Error at line 3: syntax error, unexpected TK_OC_OR, expecting ',' "
GrupoV,asl155,1,0,FALSE,"Error at line 3: syntax error, unexpected TK_OC_EQ, expecting ',' "
GrupoV,asl156,1,0,FALSE,"Error at line 3: syntax error, unexpected TK_OC_NE, expecting ',' "
GrupoV,asl157,1,0,FALSE,"Error at line 3: syntax error, unexpected '<', expecting ',' "
GrupoV,asl158,1,0,FALSE,"Error at line 3: syntax error, unexpected '>', expecting ',' "
GrupoV,asl159,1,0,FALSE,"Error at line 3: syntax error, unexpected TK_OC_LE, expecting ',' "
GrupoV,asl160,1,0,FALSE,"Error at line 3: syntax error, unexpected TK_OC_GE, expecting ',' "
GrupoW,asl146,1,0,FALSE,"syntax error, unexpected ' ' at line 4 TOKEN ERROR ( ) "
GrupoW,asl147,1,0,FALSE,"syntax error, unexpected '!' at line 4 TOKEN ERROR (!) "
GrupoX,asl037,1,0,FALSE,"linha 5: syntax error, unexpected TK_ERRO, expecting '{' "
GrupoY,asl001,1,0,FALSE,syntax error
GrupoY,asl003,1,0,FALSE,syntax error
GrupoY,asl009,1,0,FALSE,syntax error
